Iteration, Loss
1, 2.403710
2, 2.181583
3, 1.935479
4, 1.811451
5, 1.426617
6, 1.372510
7, 1.294100
8, 1.082349
9, 1.056890
10, 1.018006
11, 0.960955
12, 0.950787
13, 0.693055
14, 0.647734
15, 0.629712
16, 0.727693
17, 0.629186
18, 0.731952
19, 0.641978
20, 0.591337
21, 0.435107
22, 0.470730
23, 0.498076
24, 0.675795
25, 0.444699
26, 0.484584
27, 0.360740
28, 0.420328
29, 0.341470
30, 0.276745
31, 0.347727
32, 0.361425
33, 0.360698
34, 0.370557
35, 0.350374
36, 0.371159
37, 0.285992
38, 0.288818
39, 0.306225
40, 0.337069
41, 0.229109
42, 0.249737
43, 0.214564
44, 0.224792
45, 0.196044
46, 0.233045
47, 0.241016
48, 0.225819
49, 0.306705
50, 0.378525
51, 0.263813
52, 0.243760
53, 0.300804
54, 0.313482
55, 0.201356
56, 0.307929
57, 0.203423
58, 0.138553
59, 0.193210
60, 0.243414
61, 0.193974
62, 0.227193
63, 0.301884
64, 0.198477
65, 0.252295
66, 0.123864
67, 0.234284
68, 0.124333
69, 0.127526
70, 0.199912
71, 0.124341
72, 0.246197
73, 0.175606
74, 0.183944
75, 0.212407
76, 0.190898
77, 0.217230
78, 0.222585
79, 0.202667
80, 0.069705
81, 0.162573
82, 0.153052
83, 0.182900
84, 0.113840
85, 0.163015
86, 0.259413
87, 0.176961
88, 0.215174
89, 0.269981
90, 0.154438
91, 0.279972
92, 0.096841
93, 0.168945
94, 0.160557
95, 0.107234
96, 0.114930
97, 0.170619
98, 0.126677
99, 0.068153
100, 0.203482
101, 0.130608
102, 0.188423
103, 0.075538
104, 0.123406
105, 0.097912
106, 0.090404
107, 0.109485
108, 0.131824
109, 0.105558
110, 0.226298
111, 0.147227
112, 0.126520
113, 0.131229
114, 0.113558
115, 0.118309
116, 0.154888
117, 0.136224
118, 0.098077
119, 0.301720
120, 0.053618
121, 0.075553
122, 0.086275
123, 0.251805
124, 0.142980
125, 0.141926
126, 0.279078
127, 0.098558
128, 0.112187
129, 0.154124
130, 0.059620
131, 0.109470
132, 0.111549
133, 0.133471
134, 0.095619
135, 0.226527
136, 0.174570
137, 0.095100
138, 0.087456
139, 0.132672
140, 0.084602
141, 0.147401
142, 0.082910
143, 0.142770
144, 0.155538
145, 0.161015
146, 0.075742
147, 0.224263
148, 0.090425
149, 0.075910
150, 0.084115
151, 0.136605
152, 0.110332
153, 0.069795
154, 0.134746
155, 0.177418
156, 0.114382
157, 0.045956
158, 0.059158
159, 0.176900
160, 0.108731
161, 0.231933
162, 0.037454
163, 0.137934
164, 0.162880
165, 0.156646
166, 0.097128
167, 0.094311
168, 0.045289
169, 0.084596
170, 0.154570
171, 0.119132
172, 0.035165
173, 0.085271
174, 0.085808
175, 0.156991
176, 0.087676
177, 0.153965
178, 0.054334
179, 0.105358
180, 0.093780
181, 0.085636
182, 0.082704
183, 0.069313
184, 0.116754
185, 0.126192
186, 0.111901
187, 0.064392
188, 0.069025
189, 0.104987
190, 0.220560
191, 0.068633
192, 0.108944
193, 0.080934
194, 0.061346
195, 0.111884
196, 0.075583
197, 0.112816
198, 0.054638
199, 0.060383
200, 0.153662
201, 0.083545
202, 0.096702
203, 0.082279
204, 0.028344
205, 0.121369
206, 0.117950
207, 0.087573
208, 0.033241
209, 0.096748
210, 0.092508
211, 0.115661
212, 0.110169
213, 0.116285
214, 0.075797
215, 0.120243
216, 0.043897
217, 0.074789
218, 0.068124
219, 0.114390
220, 0.167627
221, 0.052907
222, 0.083238
223, 0.101058
224, 0.141450
225, 0.082978
226, 0.074628
227, 0.061348
228, 0.067285
229, 0.059033
230, 0.108139
231, 0.057181
232, 0.115250
233, 0.072658
234, 0.124905
235, 0.099853
236, 0.141697
237, 0.077966
238, 0.051213
239, 0.083106
240, 0.090960
241, 0.152365
242, 0.108389
243, 0.057541
244, 0.228429
245, 0.112348
246, 0.051242
247, 0.137901
248, 0.088404
249, 0.022889
250, 0.033975
251, 0.095330
252, 0.098737
253, 0.109239
254, 0.053806
255, 0.065935
256, 0.104238
257, 0.105709
258, 0.071248
259, 0.100175
260, 0.061615
261, 0.071559
262, 0.056757
263, 0.138579
264, 0.110740
265, 0.079273
266, 0.126488
267, 0.140769
268, 0.091287
269, 0.159518
270, 0.167383
271, 0.103513
272, 0.076002
273, 0.114915
274, 0.225418
275, 0.131298
276, 0.127160
277, 0.094726
278, 0.108156
279, 0.083811
280, 0.059338
281, 0.102794
282, 0.085052
283, 0.028606
284, 0.043472
285, 0.121566
286, 0.126142
287, 0.055715
288, 0.055297
289, 0.077868
290, 0.078338
291, 0.072620
292, 0.139152
293, 0.042054
294, 0.071886
295, 0.056084
296, 0.051203
297, 0.110995
298, 0.074566
299, 0.087428
300, 0.037885
301, 0.057293
302, 0.107304
303, 0.028884
304, 0.112070
305, 0.091479
306, 0.055299
307, 0.095219
308, 0.067799
309, 0.139989
310, 0.088841
311, 0.049187
312, 0.152495
313, 0.088787
314, 0.042392
315, 0.049955
316, 0.040406
317, 0.055856
318, 0.055582
319, 0.054279
320, 0.078237
321, 0.086495
322, 0.132738
323, 0.051424
324, 0.055281
325, 0.036976
326, 0.114673
327, 0.028223
328, 0.025445
329, 0.168025
330, 0.102830
331, 0.171420
332, 0.077410
333, 0.019129
334, 0.107298
335, 0.062180
336, 0.025126
337, 0.047384
338, 0.154434
339, 0.076174
340, 0.080210
341, 0.066516
342, 0.051041
343, 0.064867
344, 0.045026
345, 0.063555
346, 0.035971
347, 0.063019
348, 0.053700
349, 0.086173
350, 0.088124
351, 0.131082
352, 0.081977
353, 0.041129
354, 0.129976
355, 0.092064
356, 0.100632
357, 0.055500
358, 0.066405
359, 0.073267
360, 0.127936
361, 0.059081
362, 0.038394
363, 0.047338
364, 0.096279
365, 0.206128
366, 0.133020
367, 0.069305
368, 0.063835
369, 0.037549
370, 0.097375
371, 0.100358
372, 0.055530
373, 0.064130
374, 0.113150
375, 0.097418
376, 0.071195
377, 0.036266
378, 0.072592
379, 0.030762
380, 0.125141
381, 0.035717
382, 0.126989
383, 0.174859
384, 0.108385
385, 0.042030
386, 0.010667
387, 0.071865
388, 0.043576
389, 0.042501
390, 0.029790
391, 0.076187
392, 0.074711
393, 0.079691
394, 0.128905
395, 0.031406
396, 0.087657
397, 0.101387
398, 0.061864
399, 0.070687
400, 0.034052
401, 0.127219
402, 0.063007
403, 0.041483
404, 0.105960
405, 0.108505
406, 0.106521
407, 0.094037
408, 0.202661
409, 0.069066
410, 0.043238
411, 0.035665
412, 0.108315
413, 0.075446
414, 0.031280
415, 0.062670
416, 0.016575
417, 0.094330
418, 0.163188
419, 0.059548
420, 0.115177
421, 0.078310
422, 0.099001
423, 0.087306
424, 0.037602
425, 0.085224
426, 0.085549
427, 0.095107
428, 0.142303
429, 0.047285
430, 0.111211
431, 0.099041
432, 0.126168
433, 0.048461
434, 0.055775
435, 0.056686
436, 0.039244
437, 0.033529
438, 0.031431
439, 0.176024
440, 0.031172
441, 0.064634
442, 0.057126
443, 0.074138
444, 0.078165
445, 0.077771
446, 0.028091
447, 0.061026
448, 0.040266
449, 0.097732
450, 0.036974
451, 0.074012
452, 0.052290
453, 0.055869
454, 0.036245
455, 0.082632
456, 0.029810
457, 0.086914
458, 0.040355
459, 0.021586
460, 0.104441
461, 0.107700
462, 0.036839
463, 0.051160
464, 0.067619
465, 0.067492
466, 0.021716
467, 0.016932
468, 0.023631
469, 0.090937
470, 0.021531
471, 0.105545
472, 0.029046
473, 0.051724
474, 0.104792
475, 0.056305
476, 0.065454
477, 0.029264
478, 0.087316
479, 0.060700
480, 0.032294
481, 0.065761
482, 0.056061
483, 0.067206
484, 0.043841
485, 0.049772
486, 0.087539
487, 0.020790
488, 0.041837
489, 0.037797
490, 0.150888
491, 0.072678
492, 0.039623
493, 0.073479
494, 0.096252
495, 0.066158
496, 0.170021
497, 0.113471
498, 0.088387
499, 0.025295
500, 0.041768
501, 0.039215
502, 0.056476
503, 0.048078
504, 0.029775
505, 0.110241
506, 0.024575
507, 0.073399
508, 0.098693
509, 0.096328
510, 0.086512
511, 0.068703
512, 0.023311
513, 0.064935
514, 0.033198
515, 0.122665
516, 0.019865
517, 0.023217
518, 0.115120
519, 0.036146
520, 0.064696
521, 0.063819
522, 0.043259
523, 0.051125
524, 0.092712
525, 0.029843
526, 0.036002
527, 0.042662
528, 0.044324
529, 0.052195
530, 0.014798
531, 0.072569
532, 0.022499
533, 0.061165
534, 0.021338
535, 0.043824
536, 0.041399
537, 0.009650
538, 0.058851
539, 0.039758
540, 0.113430
541, 0.068783
542, 0.021701
543, 0.054809
544, 0.071293
545, 0.053445
546, 0.053563
547, 0.082168
548, 0.033635
549, 0.028510
550, 0.021269
551, 0.044709
552, 0.102977
553, 0.028192
554, 0.093057
555, 0.022121
556, 0.014463
557, 0.015592
558, 0.041516
559, 0.062685
560, 0.050908
561, 0.006355
562, 0.048309
563, 0.175789
564, 0.050277
565, 0.067551
566, 0.123609
567, 0.043985
568, 0.098058
569, 0.019692
570, 0.016855
571, 0.097549
572, 0.084847
573, 0.088473
574, 0.047667
575, 0.047220
576, 0.092397
577, 0.125849
578, 0.010591
579, 0.032157
580, 0.141352
581, 0.039206
582, 0.055642
583, 0.035948
584, 0.063852
585, 0.070462
586, 0.083587
587, 0.047764
588, 0.079296
589, 0.030476
590, 0.072879
591, 0.056236
592, 0.053864
593, 0.271289
594, 0.051819
595, 0.034845
596, 0.141736
597, 0.065048
598, 0.031303
599, 0.086024
600, 0.116457
601, 0.069487
602, 0.058073
603, 0.090108
604, 0.068701
605, 0.050527
606, 0.018515
607, 0.016405
608, 0.025104
609, 0.037078
610, 0.072509
611, 0.034332
612, 0.023496
613, 0.024967
614, 0.050439
615, 0.019503
616, 0.115085
617, 0.062189
618, 0.047128
619, 0.019027
620, 0.045689
621, 0.023242
622, 0.019731
623, 0.051412
624, 0.086706
625, 0.085206
626, 0.051954
627, 0.015472
628, 0.046972
629, 0.024541
630, 0.018572
631, 0.106914
632, 0.039693
633, 0.020104
634, 0.034442
635, 0.016640
636, 0.058101
637, 0.088320
638, 0.030061
639, 0.073424
640, 0.120285
641, 0.129609
642, 0.067783
643, 0.013422
644, 0.029728
645, 0.027621
646, 0.048361
647, 0.173998
648, 0.130933
649, 0.019989
650, 0.035027
651, 0.010183
652, 0.046955
653, 0.055649
654, 0.029820
655, 0.015758
656, 0.064682
657, 0.051252
658, 0.043222
659, 0.028771
660, 0.051641
661, 0.145986
662, 0.037467
663, 0.057402
664, 0.014765
665, 0.044277
666, 0.034587
667, 0.075766
668, 0.044330
669, 0.155146
670, 0.073824
671, 0.038928
672, 0.013049
673, 0.020176
674, 0.037825
675, 0.082471
676, 0.049042
677, 0.058087
678, 0.055439
679, 0.051536
680, 0.033199
681, 0.016634
682, 0.058434
683, 0.037093
684, 0.059623
685, 0.041071
686, 0.032638
687, 0.012358
688, 0.033712
689, 0.026241
690, 0.060057
691, 0.031112
692, 0.041144
693, 0.061886
694, 0.040256
695, 0.035296
696, 0.067591
697, 0.084893
698, 0.040773
699, 0.070327
700, 0.093269
701, 0.109166
702, 0.024884
703, 0.009752
704, 0.026211
705, 0.045550
706, 0.053040
707, 0.092464
708, 0.078855
709, 0.032389
710, 0.028314
711, 0.127694
712, 0.067070
713, 0.065078
714, 0.162374
715, 0.081950
716, 0.100485
717, 0.080628
718, 0.033120
719, 0.054604
720, 0.030532
721, 0.064862
722, 0.184386
723, 0.060968
724, 0.135236
725, 0.117483
726, 0.041915
727, 0.069958
728, 0.026990
729, 0.045611
730, 0.007455
731, 0.021551
732, 0.060226
733, 0.077813
734, 0.110976
735, 0.072821
736, 0.059948
737, 0.049774
738, 0.025231
739, 0.111160
740, 0.077662
741, 0.023334
