ImageID, Precision, Recall
100007, 0.2393, 0.7151
100039, 0.0805, 0.8104
100099, 0.1288, 0.2847
10081, 0.1661, 0.6767
101027, 0.0783, 0.6780
101084, 0.0906, 0.8937
102062, 0.0792, 0.7829
103006, 0.0510, 0.6477
103029, 0.2785, 0.5108
103078, 0.1491, 0.7715
104010, 0.1323, 0.6815
104055, 0.2730, 0.6511
105027, 0.1255, 0.9118
106005, 0.1808, 0.5326
106047, 0.1096, 0.7072
107014, 0.1221, 0.4932
107045, 0.0948, 0.6404
107072, 0.0945, 0.8412
108004, 0.0609, 0.9225
108036, 0.0897, 0.6527
108069, 0.0353, 0.7402
109055, 0.0579, 0.5860
112056, 0.4029, 0.5069
112090, 0.1876, 0.7545
117025, 0.0734, 0.6689
118015, 0.1574, 0.7966
118031, 0.0881, 0.6219
118072, 0.1035, 0.6023
120003, 0.3886, 0.5780
120093, 0.2120, 0.8282
123057, 0.1307, 0.4760
128035, 0.3221, 0.7079
130014, 0.0955, 0.5143
130066, 0.1055, 0.5602
134049, 0.1400, 0.8745
134067, 0.1198, 0.9120
140006, 0.1493, 0.8092
140088, 0.2605, 0.6348
14085, 0.0990, 0.6073
14092, 0.0735, 0.5780
141012, 0.0330, 0.8570
141048, 0.0661, 0.8167
145059, 0.1344, 0.7409
145079, 0.1164, 0.8559
146074, 0.3281, 0.8505
147077, 0.1032, 0.7228
147080, 0.1372, 0.8120
15011, 0.2196, 0.7732
15062, 0.0927, 0.6969
156054, 0.1026, 0.6720
157032, 0.2823, 0.6260
157087, 0.1731, 0.7898
159002, 0.1161, 0.6940
159022, 0.0919, 0.4781
160006, 0.1343, 0.5990
16004, 0.1808, 0.7485
160067, 0.0680, 0.6340
16068, 0.0994, 0.6384
161045, 0.1031, 0.6140
163004, 0.1257, 0.5980
163096, 0.0804, 0.7840
164046, 0.0722, 0.8339
168084, 0.1452, 0.6116
17067, 0.1092, 0.7877
175083, 0.0895, 0.7924
176051, 0.1805, 0.7857
179084, 0.3736, 0.7443
181021, 0.2366, 0.8110
183066, 0.0845, 0.6798
185092, 0.2203, 0.6582
187058, 0.0890, 0.8252
187099, 0.0905, 0.8573
188025, 0.2325, 0.7207
189006, 0.2745, 0.5366
189013, 0.2314, 0.5730
189029, 0.2083, 0.7857
189096, 0.0967, 0.5217
196027, 0.2972, 0.6061
196040, 0.1322, 0.8193
196062, 0.1188, 0.6970
196088, 0.0665, 0.8196
198087, 0.3535, 0.8343
20069, 0.3061, 0.6814
